omotiverad	
integrerad	
de|centraliserad	
överens|kommen	
grundad	
upp|delad	
stympad	
farsartad	
in|tecknad	
inkilad	
intagen	
olycksdrabbad	
avbildad	
in|smugen	
grillad	
nyfångad	
diskriminerad	
ut|given	
hand|textad	
tillägnad	
multiplicerad	
animerad	
lättskrämd	
upp|stramad	
graderad	
utrustad	
fjäder|belastad	
upp|hängd	
monterad	
mugglar|född	
blixt|formad	
välkänd	
placerad	
underförstådd	
nyfödd	
ner|kortad	
inspirerad	
dragen	
såld	
jagad	
anförd	
in|ringad	
datoranimerad	
nominerad	
optimerad	
lag|stiftad	
lagstadgad	
utarbetad	
lågavlönad	
arrangerad	
special|byggd	
invigd	
utvald	
arab|kontrollerad	
inställd	
vänlig|sinnad	
belönad	
bekräftad	
skickad	
framskjuten	
namn|given	
avancerad	
eldriven	
förbunden	
datoriserad	
form|given	
kugg|försedd	
packad	
tränad	
använd	
special|tillverkad	
studerad	
omtalad	
lutad	
upp|värmd	
mättad	
standardiserad	
ledd	
utbredd	
lyckad	
noterad	
odiskad	
hyllad	
iväg|skickad	
adresserad	
utsvulten	
ödesbestämd	
förtrollad	
förutbestämd	
up|piggad	
befogad	
up|plockad	
befriad	
välsignad	
förlamad	
älskad	
uppfylld	
arkaiserad	
slätstruken	
kultförklarad	
ny|planerad	
påhittad	
vald	
jämkad	
författad	
försvagad	
försörjd	
fullgjord	
avlagd	
civiliserad	
stigen	
monsun|buren	
skållad	
iförd	
högkragad	
guld|galonerad	
ny|struken	
o|skuggad	
vitmålad	
över|gödd	
road	
upp|äten	
ut|slätad	
avbruten	
slätkammad	
rått|färgad	
skad|skjuten	
trolovad	
spridd	
lättpåverkad	
omvänd	
glömd	
berusad	
halvrutten	
överspänd	
myggnäts|om|hängd	
palm|skuggad	
ny|tvagen	
nyrakad	
guld|beslagen	
välkammad	
skriftlärd	
svältfödd	
tilltygad	
grund|lurad	
miss|handlad	
brunfärgad	
välsorterad	
in|handlad	
saltad	
rensad	
borttagen	
lågmäld	
tillagd	
betrodd	
utsänd	
förtvinad	
åtskild	
benämnd	
orienterad	
uppskattad	
störd	
lärd	
förfinad	
in|kommen	
egenproducerad	
sol|torkad	
förbryllad	
upp|lagrad	
förvirrad	
fullstaplad	
förhindrad	
skogbevuxen	
pluggad	
ned|grävd	
utskuren	
lättfotad	
mångfärgad	
färgad	
tystlåten	
infödd	
blandad	
svalnad	
mandelformad	
upphöjd	
polerad	
okultiverad	
insjunken	
kullerstens|belagd	
tvättad	
putsad	
lagd	
dit|transporterad	
nybakad	
kasserad	
överraskad	
lackerad	
balanserad	
kortfattad	
oordnad	
ämnad	
premierad	
överbliven	
special|preparerad	
oanad	
hemlagad	
hemmagjord	
spetsad	
